farm_id,date,season,max_temp,daily_gdd,ndvi_mean,ndmi_mean,stress_pct,total_ha,accumulated_gdd,ndvi_change,ndvi_momentum,active_ha,temp_stress_ha,water_stress_ha,risk_high_ha
Jose_Farm,2026-01-08,Winter,5.8,2.15,0.011829984374344349,0.3943701982498169,1.0,500,25.349999999999998,0.0,Stable,500,0.0,500.0,500.0
Jose_Farm,2026-01-13,Winter,9.4,4.4,0.18121683597564697,0.035527825355529785,0.9546072014536986,500,29.75,0.16938685160130262,Increasing,500,0.0,477.3036007268493,477.3036007268493
Jose_Farm,2026-01-13,Winter,9.4,4.4,0.18121683597564697,0.035527825355529785,0.9546072014536986,500,34.15,0.0,Stable,500,0.0,477.3036007268493,477.3036007268493
Jose_Farm,2026-01-13,Winter,9.4,4.4,0.18121683597564697,0.035527825355529785,0.9546072014536986,500,38.55,0.0,Stable,500,0.0,477.3036007268493,477.3036007268493
Jose_Farm,2026-01-18,Winter,3.0,0.5,-0.012313969433307648,0.10080850124359131,1.0,500,39.05,-0.19353080540895462,Declining,500,0.0,500.0,500.0
Jose_Farm,2026-01-18,Winter,3.0,0.5,-0.012313969433307648,0.10080850124359131,1.0,500,39.55,0.0,Stable,500,0.0,500.0,500.0
Jose_Farm,2026-01-18,Winter,3.0,0.5,-0.012313969433307648,0.10080850124359131,1.0,500,40.05,0.0,Stable,500,0.0,500.0,500.0
Jose_Farm,2026-01-18,Winter,3.0,0.5,-0.012313969433307648,0.10080850124359131,1.0,500,40.55,0.0,Stable,500,0.0,500.0,500.0
Jose_Farm,2026-01-23,Winter,3.1,0.55,0.05305789038538933,0.261409729719162,1.0,500,41.099999999999994,0.06537185981869698,Increasing,500,0.0,500.0,500.0
Jose_Farm,2026-01-23,Winter,3.1,0.55,0.05305789038538933,0.261409729719162,1.0,500,41.64999999999999,0.0,Stable,500,0.0,500.0,500.0
Jose_Farm,2026-01-23,Winter,3.1,0.55,0.05305789038538933,0.261409729719162,1.0,500,42.19999999999999,0.0,Stable,500,0.0,500.0,500.0
Jose_Farm,2026-01-23,Winter,3.1,0.55,0.05305789038538933,0.261409729719162,1.0,500,42.749999999999986,0.0,Stable,500,0.0,500.0,500.0
